# Matter power spectrum P(k) at redshift z=0
# for k=1.05238e-05 to 5.17653 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.674610185525e-02       1.639518872802e+04 
       3.691571326798e-02       1.631870066992e+04 
       3.708634933026e-02       1.624241539943e+04 
       3.725804274484e-02       1.616616572610e+04 
       3.743082757839e-02       1.608994599402e+04 
       3.760473933589e-02       1.601400035547e+04 
       3.777981504011e-02       1.593765983857e+04 
       3.795609331664e-02       1.586169510659e+04 
       3.813361448483e-02       1.578572527941e+04 
       3.831242065538e-02       1.570983001150e+04 
       3.849255583487e-02       1.563399107576e+04 
       3.867406603800e-02       1.555818929678e+04 
       3.885699940826e-02       1.548249768817e+04 
       3.904140634763e-02       1.540685046736e+04 
       3.922733965632e-02       1.533119369336e+04 
       3.941485468331e-02       1.525561338814e+04 
       3.960400948885e-02       1.518003860289e+04 
       3.979486501999e-02       1.510465682720e+04 
       3.998748530034e-02       1.502927564592e+04 
       4.018193763567e-02       1.495366567874e+04 
       4.037829283667e-02       1.487839761660e+04 
       4.057662546081e-02       1.480311260355e+04 
       4.077701407520e-02       1.472776652479e+04 
       4.097954154263e-02       1.465260231176e+04 
       4.118429533336e-02       1.457738818519e+04 
       4.139136786529e-02       1.450184835061e+04 
       4.160085687580e-02       1.442671292901e+04 
       4.181286582878e-02       1.435170699999e+04 
       4.202750436077e-02       1.427625155476e+04 
       4.224488877092e-02       1.420110817242e+04 
       4.246514255980e-02       1.412575108583e+04 
       4.268839702310e-02       1.405034642000e+04 
       4.291479190688e-02       1.397513872120e+04 
       4.314447613208e-02       1.389997288502e+04 
       4.337760859718e-02       1.382432706669e+04 
       4.361435906919e-02       1.374892921518e+04 
       4.385490917465e-02       1.367319966439e+04 
       4.409945350428e-02       1.359755512742e+04 
       4.434820084700e-02       1.352185347804e+04 
       4.460137557152e-02       1.344616094909e+04 
       4.485921917694e-02       1.336999487827e+04 
       4.512199203731e-02       1.329399464119e+04 
       4.538997536925e-02       1.321763349381e+04 
       4.566347345726e-02       1.314116073370e+04 
       4.594281617729e-02       1.306456980171e+04 
       4.622836186682e-02       1.298788735322e+04 
       4.652050059876e-02       1.291049936058e+04 
       4.681965792758e-02       1.283331273887e+04 
       4.712629918973e-02       1.275550764754e+04 
       4.744093445693e-02       1.267757043267e+04 
       4.776412426149e-02       1.259934397145e+04 
       4.809648623815e-02       1.252074815087e+04 
       4.843870285833e-02       1.244167676401e+04 
       4.879153047201e-02       1.236198327906e+04 
       4.915580992170e-02       1.228204171778e+04 
       4.953247905434e-02       1.220142655910e+04 
       4.992258753563e-02       1.212013421858e+04 
