# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  112       3.922758248394e-10       1.164538461735e-13      -3.893301300092e-12       0.000000000000e+00       7.204843861257e-12       1.107202556249e-12      -6.111405267232e-15 
  113       3.965211236156e-10       1.179609801255e-13      -3.972952021882e-12       0.000000000000e+00       7.032559325269e-12       1.086137848626e-12      -6.052334063475e-15 
  114       4.007840131349e-10       1.194293601526e-13      -4.051873033596e-12       0.000000000000e+00       6.865580282998e-12       1.065665963841e-12      -5.988981347993e-15 
  115       4.050639104080e-10       1.208574846056e-13      -4.129994700529e-12       0.000000000000e+00       6.703831494482e-12       1.045778949078e-12      -5.921928487381e-15 
  116       4.093601349814e-10       1.222438672329e-13      -4.207246893359e-12       0.000000000000e+00       6.547201541557e-12       1.026464504580e-12      -5.851800800186e-15 
  117       4.136719057857e-10       1.235870382395e-13      -4.283559011094e-12       0.000000000000e+00       6.395541755810e-12       1.007705853204e-12      -5.779268490198e-15 
  118       4.179983379836e-10       1.248855453471e-13      -4.358860004012e-12       0.000000000000e+00       6.248665146526e-12       9.894816099832e-13      -5.705047579752e-15 
  119       4.223384398185e-10       1.261379548537e-13      -4.433078396611e-12       0.000000000000e+00       6.106345328634e-12       9.717656516781e-13      -5.629900843022e-15 
  120       4.266911094629e-10       1.273428526930e-13      -4.506142310548e-12       0.000000000000e+00       5.968315450662e-12       9.545269863367e-13      -5.554638739318e-15 
  121       4.310551318662e-10       1.284988454943e-13      -4.577979487586e-12       0.000000000000e+00       5.834267122677e-12       9.377296228512e-13      -5.480120346384e-15 
  122       4.354291756036e-10       1.296045616422e-13      -4.648517312538e-12       0.000000000000e+00       5.703849344239e-12       9.213324405142e-13      -5.407254293693e-15 
  123       4.398119474740e-10       1.306587022551e-13      -4.717684080464e-12       0.000000000000e+00       5.576744153086e-12       9.052983562506e-13      -5.336817718273e-15 
  124       4.442026831185e-10       1.316601984969e-13      -4.785412914238e-12       0.000000000000e+00       5.452905695237e-12       8.896232966487e-13      -5.268887593715e-15 
  125       4.486007070882e-10       1.326080744186e-13      -4.851638342378e-12       0.000000000000e+00       5.332346727231e-12       8.743103239588e-13      -5.203345525831e-15 
  126       4.530052782515e-10       1.335014000957e-13      -4.916295127495e-12       0.000000000000e+00       5.215063891772e-12       8.593605798339e-13      -5.140053385277e-15 
  127       4.574155878835e-10       1.343392930806e-13      -4.979318299028e-12       0.000000000000e+00       5.101037249296e-12       8.447732280392e-13      -5.078852809086e-15 
  128       4.618307577555e-10       1.351209198548e-13      -5.040643185978e-12       0.000000000000e+00       4.990229809545e-12       8.305453971619e-13      -5.019564702199e-15 
  129       4.662498382243e-10       1.358454972814e-13      -5.100205449644e-12       0.000000000000e+00       4.882587063144e-12       8.166721233204e-13      -4.961988738994e-15 
  130       4.706718063222e-10       1.365122940579e-13      -5.157941116353e-12       0.000000000000e+00       4.778036513171e-12       8.031462928735e-13      -4.905902864817e-15 
  131       4.750955638456e-10       1.371206321679e-13      -5.213786610196e-12       0.000000000000e+00       4.676487206731e-12       7.899585851304e-13      -4.851062797514e-15 
  132       4.795199354452e-10       1.376698883340e-13      -5.267678785761e-12       0.000000000000e+00       4.577829266532e-12       7.770974150596e-13      -4.797201528963e-15 
  133       4.839436667151e-10       1.381594954702e-13      -5.319554960869e-12       0.000000000000e+00       4.481933422454e-12       7.645488759988e-13      -4.744028826599e-15 
  134       4.883654222823e-10       1.385889441342e-13      -5.369352949303e-12       0.000000000000e+00       4.388650543126e-12       7.522966823639e-13      -4.691230734950e-15 
  135       4.927837838959e-10       1.389577839799e-13      -5.417011093546e-12       0.000000000000e+00       4.297811167498e-12       7.403221123590e-13      -4.638469077168e-15 
  136       4.971972485173e-10       1.392656252097e-13      -5.462468297515e-12       0.000000000000e+00       4.209225036414e-12       7.286039506851e-13      -4.585380956556e-15 
  137       5.016043617205e-10       1.395121654417e-13      -5.505664553686e-12       0.000000000000e+00       4.122721405978e-12       7.171230405529e-13      -4.531651704790e-15 
  138       5.060041375212e-10       1.396972703748e-13      -5.546542516765e-12       0.000000000000e+00       4.038275687338e-12       7.058765926115e-13      -4.477243301228e-15 
  139       5.103956785710e-10       1.398209042632e-13      -5.585046155681e-12       0.000000000000e+00       3.955895084334e-12       6.948652549637e-13      -4.422188755160e-15 
  140       5.147780437022e-10       1.398831068498e-13      -5.621120309345e-12       0.000000000000e+00       3.875578779895e-12       6.840886089438e-13      -4.366520747952e-15 
  141       5.191502468760e-10       1.398839949798e-13      -5.654710722519e-12       0.000000000000e+00       3.797317726459e-12       6.735451410836e-13      -4.310271600752e-15 
  142       5.235112561307e-10       1.398237642142e-13      -5.685764081690e-12       0.000000000000e+00       3.721094436404e-12       6.632322150777e-13      -4.253473242208e-15 
  143       5.278599925301e-10       1.397026904438e-13      -5.714228050938e-12       0.000000000000e+00       3.646882772462e-12       6.531460437493e-13      -4.196157176172e-15 
  144       5.321953291116e-10       1.395211315028e-13      -5.740051307813e-12       0.000000000000e+00       3.574647738149e-12       6.432816610155e-13      -4.138354449417e-15 
  145       5.365160898348e-10       1.392795287828e-13      -5.763183579200e-12       0.000000000000e+00       3.504345268186e-12       6.336328938531e-13      -4.080095619344e-15 
  146       5.408210485296e-10       1.389784088461e-13      -5.783575677200e-12       0.000000000000e+00       3.435922018920e-12       6.241923342640e-13      -4.021410721692e-15 
  147       5.451089278445e-10       1.386183850397e-13      -5.801179534992e-12       0.000000000000e+00       3.369315158754e-12       6.149513112410e-13      -3.962329238254e-15 
  148       5.493783981950e-10       1.382001591089e-13      -5.815948242713e-12       0.000000000000e+00       3.304452158559e-12       6.058998627331e-13      -3.902880064582e-15 
  149       5.536280767118e-10       1.377245228112e-13      -5.827836083323e-12       0.000000000000e+00       3.241250582111e-12       5.970267076111e-13      -3.843091477703e-15 
  150       5.578565261892e-10       1.371923595299e-13      -5.836798568482e-12       0.000000000000e+00       3.179617876501e-12       5.883192176334e-13      -3.782991103826e-15 
  151       5.620622540334e-10       1.366046458878e-13      -5.842792474420e-12       0.000000000000e+00       3.119451162567e-12       5.797633894115e-13      -3.722605886055e-15 
  152       5.662437112105e-10       1.359624533612e-13      -5.845775877807e-12       0.000000000000e+00       3.060637025315e-12       5.713438163753e-13      -3.661962052101e-15 
  153       5.703994042626e-10       1.352669385518e-13      -5.845708483126e-12       0.000000000000e+00       3.003074928971e-12       5.630471803984e-13      -3.601088767963e-15 
  154       5.745282452808e-10       1.345193095909e-13      -5.842552563520e-12       0.000000000000e+00       2.946750351838e-12       5.548731508112e-13      -3.540029549029e-15 
