# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  130       4.956382166666e-10       1.476806917749e-13      -5.488710092809e-12       7.121433790135e-16       5.031546137925e-12       8.100765692933e-13      -5.277081443635e-15 
  131       5.002658201432e-10       1.482931686059e-13      -5.546544917030e-12       7.237283080164e-16       4.924838371255e-12       7.968709129474e-13      -5.203919361567e-15 
  132       5.048927278734e-10       1.488411806512e-13      -5.602232450222e-12       7.354306780242e-16       4.820925714091e-12       7.839472452648e-13      -5.131077410360e-15 
  133       5.095179664562e-10       1.493242696294e-13      -5.655707231127e-12       7.472512976536e-16       4.719793713512e-12       7.713068940620e-13      -5.058613252253e-15 
  134       5.141404996004e-10       1.497420481757e-13      -5.706904475325e-12       7.591909810863e-16       4.621414841944e-12       7.589498124145e-13      -4.986582189452e-15 
  135       5.187592265352e-10       1.500942015617e-13      -5.755760113103e-12       7.712505479866e-16       4.525748153438e-12       7.468745406302e-13      -4.915037063821e-15 
  136       5.233729804203e-10       1.503804894159e-13      -5.802210827330e-12       7.834308234195e-16       4.432738939934e-12       7.350781682241e-13      -4.844028156572e-15 
  137       5.279805267571e-10       1.506007474434e-13      -5.846194091323e-12       7.957326377677e-16       4.342318387529e-12       7.235562958922e-13      -4.773603087954e-15 
  138       5.325805617991e-10       1.507548891463e-13      -5.887648206719e-12       8.081568266496e-16       4.254403232752e-12       7.123029974855e-13      -4.703806716940e-15 
  139       5.371717109625e-10       1.508429075441e-13      -5.926512341347e-12       8.207042308367e-16       4.168895418827e-12       7.013107819846e-13      -4.634681040922e-15 
  140       5.417525272366e-10       1.508648768930e-13      -5.962726567094e-12       8.333756961711e-16       4.085681751944e-12       6.905705554731e-13      -4.566265095394e-15 
  141       5.463214895948e-10       1.508209544069e-13      -5.996231897781e-12       8.461720734834e-16       4.004633557530e-12       6.800715831124e-13      -4.498594853646e-15 
  142       5.508770014049e-10       1.507113819770e-13      -6.026970327028e-12       8.590942185098e-16       3.925606336515e-12       6.698014511155e-13      -4.431703126452e-15 
  143       5.554173888400e-10       1.505364878920e-13      -6.054884866129e-12       8.721429918103e-16       3.848439421603e-12       6.597460287212e-13      -4.365619461759e-15 
  144       5.599410377840e-10       1.502966993944e-13      -6.079920121067e-12       8.853192075155e-16       3.772989671264e-12       6.498924580384e-13      -4.300361992177e-15 
  145       5.644468231169e-10       1.499925781129e-13      -6.102024007733e-12       8.986234740495e-16       3.699237021150e-12       6.402385360609e-13      -4.235912283376e-15 
  146       5.689337189270e-10       1.496247914091e-13      -6.121146278582e-12       9.120563374747e-16       3.627188733663e-12       6.307841896142e-13      -4.172237803852e-15 
  147       5.734006630299e-10       1.491941036219e-13      -6.137238039277e-12       9.256183308789e-16       3.556846147828e-12       6.215285100984e-13      -4.109299609173e-15 
  148       5.778465561743e-10       1.487013778497e-13      -6.150251789657e-12       9.393099739990e-16       3.488204531184e-12       6.124697328635e-13      -4.047052195399e-15 
  149       5.822702612494e-10       1.481475777332e-13      -6.160141464708e-12       9.531317728442e-16       3.421252931670e-12       6.036052165858e-13      -3.985443352491e-15 
  150       5.866706024909e-10       1.475337692374e-13      -6.166862475527e-12       9.670842193197e-16       3.355974029514e-12       5.949314226431e-13      -3.924414017724e-15 
  151       5.910463646876e-10       1.468611224342e-13      -6.170371750296e-12       9.811677908500e-16       3.292343989122e-12       5.864438944904e-13      -3.863898129099e-15 
  152       5.953962923885e-10       1.461309132846e-13      -6.170627775248e-12       9.953829500026e-16       3.230332310964e-12       5.781372370357e-13      -3.803822478755e-15 
  153       5.997190891084e-10       1.453445254215e-13      -6.167590635639e-12       1.009730144111e-15       3.169901683463e-12       5.700050960155e-13      -3.744106566384e-15 
  154       6.040134165355e-10       1.445034519316e-13      -6.161222056713e-12       1.024209804901e-15       3.111007834885e-12       5.620401373709e-13      -3.684662452640e-15 
  155       6.082778937372e-10       1.436092971381e-13      -6.151485444674e-12       1.038822348107e-15       3.053599385224e-12       5.542340266227e-13      -3.625394612555e-15 
  156       6.125110963669e-10       1.426637783831e-13      -6.138345927653e-12       1.053568173106e-15       2.997617698093e-12       5.465774082476e-13      -3.566199788948e-15 
  157       6.167115558707e-10       1.416687278098e-13      -6.121770396678e-12       1.068447662531e-15       2.942996732610e-12       5.390598850536e-13      -3.506966845838e-15 
