# Matter power spectrum P(k) at redshift z=1
# for k=1.04272e-05 to 5.29922 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.619005062579e-02       6.346467396660e+03 
       3.635718127512e-02       6.318607956829e+03 
       3.652533170183e-02       6.290810704478e+03 
       3.669453457162e-02       6.262977071242e+03 
       3.686482391913e-02       6.235156594723e+03 
       3.703623522290e-02       6.207360919470e+03 
       3.720880548566e-02       6.179599779041e+03 
       3.738257332010e-02       6.151847888225e+03 
       3.755757904081e-02       6.124083024765e+03 
       3.773386476277e-02       6.096341872718e+03 
       3.791147450703e-02       6.068609659037e+03 
       3.809045431419e-02       6.040915418189e+03 
       3.827085236646e-02       6.013164960128e+03 
       3.845271911888e-02       5.985488390921e+03 
       3.863610744073e-02       5.957764951886e+03 
       3.882107276806e-02       5.930067188579e+03 
       3.900767326825e-02       5.902388551258e+03 
       3.919597001792e-02       5.874684538722e+03 
       3.938602719540e-02       5.847031749783e+03 
       3.957791228927e-02       5.819331477856e+03 
       3.977169632444e-02       5.791676646004e+03 
       3.996745410783e-02       5.764016655575e+03 
       4.016526449536e-02       5.736288775468e+03 
       4.036521068280e-02       5.708599841557e+03 
       4.056738052282e-02       5.680905696150e+03 
       4.077186687124e-02       5.653163297699e+03 
       4.097876796565e-02       5.625529104388e+03 
       4.118818784013e-02       5.597741637586e+03 
       4.140023678011e-02       5.569967045589e+03 
       4.161503182222e-02       5.542261092075e+03 
       4.183269730436e-02       5.514391437415e+03 
       4.205336547217e-02       5.486527184239e+03 
       4.227717714892e-02       5.458678494075e+03 
       4.250428247673e-02       5.430780963820e+03 
       4.273484173832e-02       5.402869983169e+03 
       4.296902626999e-02       5.374828017655e+03 
       4.320701947786e-02       5.346760028617e+03 
       4.344901797163e-02       5.318669812843e+03 
       4.369523283220e-02       5.290530703790e+03 
       4.394589103227e-02       5.262295559969e+03 
       4.420123703215e-02       5.233993307234e+03 
       4.446153457698e-02       5.205589086616e+03 
       4.472706872580e-02       5.177125763127e+03 
       4.499814814890e-02       5.148551631297e+03 
       4.527510773586e-02       5.119857830678e+03 
       4.555831156520e-02       5.091100216415e+03 
       4.584815629584e-02       5.062149512695e+03 
       4.614507505275e-02       5.033066937332e+03 
       4.644954189316e-02       5.003884541717e+03 
       4.676207695792e-02       4.974483231164e+03 
       4.708325243403e-02       4.944976977738e+03 
       4.741369948193e-02       4.915164364933e+03 
       4.775411631430e-02       4.885220493761e+03 
       4.810527765581e-02       4.854992019997e+03 
       4.846804586568e-02       4.824553756430e+03 
       4.884338407152e-02       4.793795071198e+03 
       4.923237174707e-02       4.762776565497e+03 
       4.963622327289e-02       4.731423857175e+03 
       5.005631015465e-02       4.699644176802e+03 
       5.049418774625e-02       4.667536771861e+03 
       5.095162754513e-02       4.634884868291e+03 
       5.143065640735e-02       4.601844660729e+03 
       5.193360438565e-02       4.568057946914e+03 
       5.246316334099e-02       4.533742785706e+03 
       5.302245903292e-02       4.498652945796e+03 
       5.361514006411e-02       4.462806255783e+03 
       5.424548782559e-02       4.425831269778e+03 
       5.491855239680e-02       4.387857801092e+03 
       5.564032002165e-02       4.348775783020e+03 
       5.641791790478e-02       4.307911463132e+03 
       5.725986080017e-02       4.265230192176e+03 
       5.817633950117e-02       4.220292917253e+03 
       5.917954068211e-02       4.172545245415e+03 
       6.028396492010e-02       4.121266873730e+03 
       6.150666614073e-02       4.065540428905e+03 
       6.286725974192e-02       4.004113376557e+03 
       6.438743205772e-02       3.935333087841e+03 
       6.608955463713e-02       3.857120928316e+03 
       6.799396971820e-02       3.766943297088e+03 
       7.011480865685e-02       3.662117187868e+03 
       7.245510264697e-02       3.540377421449e+03 
       7.500324823339e-02       3.400683339023e+03 
